excavation_no,id_text,accession_no,accounting_period,acquisition_history,alternative_years,archive,ark,atf_source,atf_up,author,author_remarks,cdli_collation,cdli_comments,citation,collection,collection_copyright,composite_id,condition_description,date_entered,date_of_origin,date_remarks,date_updated,dates_referenced,db_source,designation,electronic_publication,elevation,external_id,findspot_remarks,findspot_square,genre,google_earth_collection,google_earth_provenience,height,join_information,language,lineart_up,material,museum_no,object_preservation,object_remarks,object_type,period,period_remarks,photo_up,primary_publication,provenience,provenience_remarks,public,public_atf,public_images,publication_date,publication_history,published_collation,seal_id,seal_information,stratigraphic_level,subgenre,subgenre_remarks,surface_preservation,text_remarks,thickness,translation_source,width,writing_phase
"","P108709","","","","","","21198/zz001qqpgq","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Amar-Suen.07.08.23","","10/20/2018","Amar-Suen.07.08.23","20011220 ur3_catalogue","CTMMA 1, 024","","","bdtns:030268","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 11.217.10","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 024","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","","","","","?","no translation","?",""
"","P108710","","","","","","21198/zz001qqph7","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Amar-Suen.07.10.20","","10/20/2018","Amar-Suen.07.10.20","20011220 ur3_catalogue","CTMMA 1, 025","","","bdtns:030269","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 11.217.06","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 025","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","","","","","?","no translation","?",""
"","P108711","","","","","","21198/zz001qqpjr","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Amar-Suen.07.11.01","","10/20/2018","Amar-Suen.07.11.01","20011220 ur3_catalogue","CTMMA 1, 026","","","bdtns:030270","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 11.217.21","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 026","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","","","","","?","no translation","?",""
"","P108712","","Amar-Suen.07.12.00 to Amar-Suen.08.01.25","","","","21198/zz001qqpk8","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Amar-Suen.08.01.25","","10/20/2018","Amar-Suen.07.12.00, Amar-Suen.08.01.25","20011220 ur3_catalogue","CTMMA 1, 027","","","bdtns:030271","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 11.217.03","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 027","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","gaba-ri","","","","?","no translation","?",""
"","P108713","","","","","","21198/zz001qqpms","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Amar-Suen.08.01.29","","10/20/2018","Amar-Suen.08.01.29","20011220 ur3_catalogue","CTMMA 1, 028","","","bdtns:030272","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 11.217.25","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 028","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","","","","","?","no translation","?",""
"","P108714","","Amar-Suen.09.06.00 to Amar-Suen.09.07.00","","","","21198/zz001qqrgp","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Amar-Suen.09.07.00","","10/20/2018","Amar-Suen.09.06.00, Amar-Suen.09.07.00","20011220 ur3_catalogue","CTMMA 1, 030","","","bdtns:030274","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 11.217.27","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 030","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","","","","","?","no translation","?",""
"","P108715","","","","","","21198/zz001qqrh6","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001"," ulgi.35.07.00 (us2 year)","","2/12/2020"," ulgi.35.07.00 (us2 year)","20011220 ur3_catalogue","CTMMA 1, 031","","","bdtns:030275","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 57.16.08","","","tablet & envelope","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 031","Umma (mod. Tell Jokha)","","yes","yes","yes","1988","apud Spar, I., ed.","","S004580","","","","","","","?","no translation","?",""
"","P108716","","","","","","21198/zz001qqrjq","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Amar-Suen.05.00.00","","10/20/2018","Amar-Suen.05.00.00","20011220 ur3_catalogue","CTMMA 1, 032","","","bdtns:030276","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 56.81.51","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 032","Umma (mod. Tell Jokha)","","yes","yes","yes","1988","apud Spar, I., ed.","","S004114","","","","","","","?","no translation","?",""
"","P108717","","","","","","21198/zz001qqrk7","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Amar-Suen.05.00.00","","10/20/2018","Amar-Suen.05.00.00","20011220 ur3_catalogue","CTMMA 1, 033","","","bdtns:030277","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 57.16.01","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 033","Umma (mod. Tell Jokha)","","yes","yes","yes","1988","apud Spar, I., ed.","","S001780.5","","","","","","","?","no translation","?",""
"","P108718","","","","","","21198/zz001qqrmr","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Amar-Suen.06.11.00","","12/12/2019","Amar-Suen.06.11.00","20011220 ur3_catalogue","CTMMA 1, 034","","","bdtns:030278","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 1973.25.01","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 034","Umma (mod. Tell Jokha)","","yes","yes","yes","1988","apud Spar, I., ed.","","S002932.2","","","","","","","?","no translation","?",""
